prov_id,cons_id,mp_app_id,mp_app_vote,mp_app_vote_percent,mp_app_rank,party_id,mp_app_name,mp_app_no,mp_app_party_id,party_id_ref,party_name,color,party_no,province
BKK,BKK_1,BKK_1_10,164,0.22357,13,184.0,นายวีรยุทธ ประกอบการ,10,184.0,184.0,ปวงชนไทย,#283a96,23.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_15,154,0.20994,14,91.0,นายอดัม ชินรัตนพิสิทธิ์,15,91.0,91.0,รักชาติ,#00695a,35.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_17,146,0.19903,15,170.0,นายประสงค์ ประสพโชค,17,170.0,170.0,ทางเลือกใหม่,#026aec,10.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_13,108,0.14723,16,211.0,นายเลิศชาย สุจริตกุล,13,211.0,211.0,วิชชั่นใหม่,#fb0102,24.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_14,91,0.12406,17,109.0,นายมงคล เสมอภาพ,14,109.0,109.0,ประชาธิปไตยใหม่,#eb4138,8.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_18,80,0.10906,18,192.0,นายกิตติคุณ ชื่นแย้ม,18,192.0,192.0,พลังประชารัฐ,#1f68dd,43.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_2,37055,47.07609,1,129.0,นายเสกสิทธิ์ แย้มสงวนศักดิ์,2,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_4,15002,19.05911,2,63.0,นางสาวพัชรินทร์ ซำศิริพงษ์,4,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_11,13620,17.30337,3,1.0,นายเจษฎา เลิศธนสาร,11,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_5,5361,6.81082,4,34.0,นายเดวิด มกรพงศ์,5,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_7,1577,2.00348,5,229.0,นายวนัส ฮ้อแสงชัย,7,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_9,1305,1.65792,6,133.0,นางกุลธิภัสร์ ธนวีรชุติวัฒน์,9,133.0,133.0,ไทยก้าวใหม่,#f4ec53,49.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_13,893,1.1345,7,173.0,นายกิตติธัช สาสนะ,13,173.0,173.0,เศรษฐกิจ,#f7c036,11.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_6,802,1.01889,8,241.0,นายกรณิศ บัวจันทร์,6,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_14,761,0.9668,9,234.0,นางอิสราพร นรินทร์,14,234.0,234.0,ไทยภักดี,#CBBA01,29.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_3,618,0.78513,10,218.0,นางสาววิลาสินี แป๊ะสมัน,3,218.0,218.0,กล้าธรรม,#55CF6A,42.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_8,557,0.70763,11,227.0,นายภูเชษฐ์ เผดิมปราชญ์,8,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_1,386,0.49039,12,184.0,นางสาววรสิริ สุพานิชวรภาชน์,1,184.0,184.0,ปวงชนไทย,#283a96,23.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_10,373,0.47387,13,91.0,นายชุติ ปลื้มรุ่งเรือง,10,91.0,91.0,รักชาติ,#00695a,35.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_12,292,0.37097,14,192.0,นายนิกม์ แสงศิรินาวิน,12,192.0,192.0,พลังประชารัฐ,#1f68dd,43.0,กรุงเทพมหานคร
BKK,BKK_2,BKK_2_15,111,0.14102,15,258.0,นายเลิศสุวัฒน์ วงศ์สุวรรณ,15,258.0,258.0,เพื่อบ้านเมือง,#ffff00,56.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_9,32753,45.07025,1,129.0,นายจรยุทธ จตุรพรประสิทธิ์,9,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_3,18263,25.13107,2,1.0,นายอภิมุข ฉันทวานิช,3,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_12,9711,13.36296,3,63.0,นายสาโรช ต่อเทียนชัย,12,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_2,6336,8.71875,4,34.0,นางสาวเพ็ญพิสุทธิ์ จินตโสภณ,2,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_11,1361,1.87282,5,229.0,นายกันต์ณกฤต ยูนิพันธ์,11,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_6,1238,1.70357,6,173.0,นายชูชาติ ชาญเชิงศิลปกุล,6,173.0,173.0,เศรษฐกิจ,#f7c036,11.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_1,634,0.87243,7,133.0,นายสุกฤษฏิ์ชัย ธีระเริงฤทธิ์,1,133.0,133.0,ไทยก้าวใหม่,#f4ec53,49.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_4,537,0.73895,8,227.0,นายปรีชา บุดดีจีน,4,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_5,471,0.64813,9,218.0,นายนรุตม์ชัย บุนนาค,5,218.0,218.0,กล้าธรรม,#55CF6A,42.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_7,468,0.644,10,211.0,นายณัฐฏ์ รุ่งเรือง,7,211.0,211.0,วิชชั่นใหม่,#fb0102,24.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_8,353,0.48575,11,192.0,นายธีระพงษ์ มงคลวัฒนลีลา,8,192.0,192.0,พลังประชารัฐ,#1f68dd,43.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_13,221,0.30411,12,91.0,นายกิตติพศ ถนอมวรารักษ์,13,91.0,91.0,รักชาติ,#00695a,35.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_10,179,0.24632,13,217.0,นางสาวดวงกมล อดุลย์เศรณี,10,217.0,217.0,พลวัต,#58bc38,7.0,กรุงเทพมหานคร
BKK,BKK_3,BKK_3_14,146,0.20091,14,241.0,นางสาวปัณณรัตน์ พนิตสิรินันท์,14,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_2,30477,43.32935,1,129.0,นายภัณฑิล น่วมเจิม,2,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_1,21776,30.95908,2,1.0,นายพงศกร ขวัญเมือง,1,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_6,9741,13.84884,3,63.0,นายเขตรัฐ เหล่าธรรมทัศน์,6,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_4,3925,5.5802,4,34.0,นางสาวบุณยกร ดำรงรัตน์,4,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_12,955,1.35773,5,229.0,นายสกลภัทร ประยูรรัตน์,12,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_10,767,1.09045,6,173.0,นายบุญเกียรติ วิศาลโกศล,10,173.0,173.0,เศรษฐกิจ,#f7c036,11.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_9,694,0.98666,7,218.0,ว่าที่ร้อยตรีหญิงปภัสราวรรณ ม่วงไหม,9,218.0,218.0,กล้าธรรม,#55CF6A,42.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_3,659,0.9369,8,133.0,นายชยพงศ์ สายฟ้า,3,133.0,133.0,ไทยก้าวใหม่,#f4ec53,49.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_8,372,0.52887,9,227.0,นายรุจิระ อัคราพิริยพงศ์,8,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_11,333,0.47343,10,91.0,นายสรยุทธ ลิขิตอาภากุล,11,91.0,91.0,รักชาติ,#00695a,35.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_5,288,0.40945,11,192.0,นายเรืองไกร ลีกิจวัฒนะ,5,192.0,192.0,พลังประชารัฐ,#1f68dd,43.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_7,245,0.34832,12,184.0,นายอิทธิพัทธ์ โศภวัฒนาสิริ,7,184.0,184.0,ปวงชนไทย,#283a96,23.0,กรุงเทพมหานคร
BKK,BKK_4,BKK_4_13,106,0.1507,13,241.0,นางสาวพรพิมล ฉิมสวัสดิ์,13,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_6,43394,50.06692,1,129.0,นายปิติกรณ์ บรรณเภสัช,6,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_4,21113,24.35965,2,63.0,นายประเดิมชัย บุญช่วยเหลือ,4,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_12,9578,11.05086,3,1.0,นายนนธนัตถ์ บุนนาค,12,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_13,6098,7.03572,4,34.0,นายขจรศักดิ์ ประดิษฐาน,13,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_7,1664,1.91988,5,229.0,นางสาวสุภกฤตา ธงไชย,7,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_9,1008,1.16301,6,218.0,นายศุข ศักดิ์ณรงค์เดช,9,218.0,218.0,กล้าธรรม,#55CF6A,42.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_11,952,1.09839,7,173.0,นายมานิตย์ ทองประชาญ,11,173.0,173.0,เศรษฐกิจ,#f7c036,11.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_5,540,0.62304,8,91.0,นายปณิธิ บวรวนิชยกูร,5,91.0,91.0,รักชาติ,#00695a,35.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_3,499,0.57573,9,133.0,นายประสพ โกมลมาศ,3,133.0,133.0,ไทยก้าวใหม่,#f4ec53,49.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_1,493,0.56881,10,227.0,นายปฎิวัติ ตรองจิตต์,1,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_14,398,0.4592,11,184.0,นางสาวเฌอมินทร์ สถิตโอฬารโรจน์,14,184.0,184.0,ปวงชนไทย,#283a96,23.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_8,232,0.26768,12,217.0,นายทนัฏฐ์ ปานโสภณ,8,217.0,217.0,พลวัต,#58bc38,7.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_2,227,0.26191,13,192.0,นางสาวบุณยนุช ปทิตหิรัณยา,2,192.0,192.0,พลังประชารัฐ,#1f68dd,43.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_10,214,0.24691,14,241.0,นายถวิล รัตตะมณี,10,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_16,152,0.17537,15,211.0,นายวศิน รัตตะรังสี,16,211.0,211.0,วิชชั่นใหม่,#fb0102,24.0,กรุงเทพมหานคร
BKK,BKK_5,BKK_5_15,110,0.12692,16,258.0,นายณัฐสุรัช หงษ์วิจิตปรีชา,15,258.0,258.0,เพื่อบ้านเมือง,#ffff00,56.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_7,41394,46.02043,1,129.0,นายกัณตภณ ดวงอัมพร,7,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_5,12395,13.78034,2,1.0,นางสาวศิริภา อินทวิเชียร,5,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_13,11685,12.99098,3,63.0,นายนรเสฏฐ์ เธียรประสิทธิ์,13,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_11,9900,11.00648,4,241.0,นางสาวอรพินทร์ เพชรทัต,11,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_4,6015,6.68727,5,34.0,นายสหัสวรรษ วีระมงคลกุล,4,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_3,2357,2.62043,6,229.0,นายชณทัต ปัทะมะภูวดล,3,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_14,1589,1.7666,7,173.0,นายอัศวิน อัศวินวิจิตร,14,173.0,173.0,เศรษฐกิจ,#f7c036,11.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_6,1316,1.46308,8,234.0,นายอิง อิงคตานุวัฒน์,6,234.0,234.0,ไทยภักดี,#CBBA01,29.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_9,1243,1.38192,9,227.0,พลตรีดนัย ดิษาภิรมย์,9,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_1,741,0.82382,10,133.0,นายโชติพงศ์ สรรเสริญ,1,133.0,133.0,ไทยก้าวใหม่,#f4ec53,49.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_10,303,0.33687,11,217.0,นายกชพล จิตต์มั่นการ,10,217.0,217.0,พลวัต,#58bc38,7.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_8,287,0.31908,12,91.0,นายวรวิช กมลโชติรส,8,91.0,91.0,รักชาติ,#00695a,35.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_2,236,0.26238,13,218.0,นายณรงค์ชัย เมืองครอง,2,218.0,218.0,กล้าธรรม,#55CF6A,42.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_12,187,0.2079,14,109.0,นายเจนวิทย์ สิริญาณสรณ์,12,109.0,109.0,ประชาธิปไตยใหม่,#eb4138,8.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_16,177,0.19678,15,184.0,นางสาวจงชนก พัชรประภากร,16,184.0,184.0,ปวงชนไทย,#283a96,23.0,กรุงเทพมหานคร
BKK,BKK_6,BKK_6_15,122,0.13564,16,224.0,นายสมชาย คงศิริวงค์,15,224.0,224.0,ฟิวชัน,#27734f,20.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_8,38574,47.92575,1,129.0,นางสาวภัสริน รามวงศ์,8,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_6,11394,14.15632,2,63.0,นางลลิตา ฤกษ์สำราญ,6,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_4,10678,13.26674,3,229.0,นายชื่นชอบ คงอุดม,4,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_1,7509,9.32946,4,1.0,นายพงศ์พล เตมีย์,1,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_3,5899,7.32913,5,34.0,นายพุฒิพงศ์ อินทรสุวรรณ,3,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_13,1968,2.44512,6,173.0,พลโทมนัส แถบทอง,13,173.0,173.0,เศรษฐกิจ,#f7c036,11.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_9,1324,1.64499,7,192.0,ร้อยตำรวจเอกวัฒนรักษ์ อำนรรฆสรเดช,9,192.0,192.0,พลังประชารัฐ,#1f68dd,43.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_7,825,1.02501,8,218.0,นายศุภฤทธิ์ มั่นนทีรัย,7,218.0,218.0,กล้าธรรม,#55CF6A,42.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_5,665,0.82622,9,227.0,นางสาวชลิดา สุวรรณโชติ,5,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_10,566,0.70322,10,133.0,นายเรวัตร คงชาติ,10,133.0,133.0,ไทยก้าวใหม่,#f4ec53,49.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_11,502,0.6237,11,224.0,ร้อยตำรวจตรีเสน่ห์ ชัยทร,11,224.0,224.0,ฟิวชัน,#27734f,20.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_12,307,0.38143,12,241.0,นายณพวุฒิ จุลไสย,12,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_7,BKK_7_2,276,0.34291,13,217.0,นางกิติมา สิงห์ลา,2,217.0,217.0,พลวัต,#58bc38,7.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_1,39081,45.33916,1,129.0,นายชยพล สท้อนดี,1,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_5,14919,17.30803,2,34.0,นายสุรชาติ เทียนทอง,5,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_13,13196,15.30912,3,63.0,นายฤกษ์อารี นานา,13,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_14,10205,11.83916,4,1.0,นายระพีพัฒน์ สุเมธโชติเมธา,14,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_15,2077,2.4096,5,229.0,นางสาวอรัญญา มณีแจ่ม,15,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_9,1350,1.56618,6,227.0,นายจักร์กวินทร์ ภู่สวาสดิ์,9,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_11,1231,1.42812,7,173.0,นายวิษณุ วราโชติเศรษฐ์,11,173.0,173.0,เศรษฐกิจ,#f7c036,11.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_6,783,0.90838,8,192.0,นายอนุชาญ กวางทอง,6,192.0,192.0,พลังประชารัฐ,#1f68dd,43.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_3,778,0.90258,9,234.0,นายพงศ์ฐิติ พงศ์ศิลามณี,3,234.0,234.0,ไทยภักดี,#CBBA01,29.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_8,732,0.84922,10,133.0,นายชญาพัฒน์ โปร่งปรีชา,8,133.0,133.0,ไทยก้าวใหม่,#f4ec53,49.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_7,532,0.61719,11,241.0,นายอนันตชาติ บัวสุวรรณ์,7,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_10,417,0.48378,12,91.0,นางสาวสุวีรา เติมรุ่งเรืองเลิศ,10,91.0,91.0,รักชาติ,#00695a,35.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_4,328,0.38052,13,218.0,นางสาวพิมพ์ณดา ธีระประจักษ์ชาติ,4,218.0,218.0,กล้าธรรม,#55CF6A,42.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_16,196,0.22739,14,211.0,นายวสันต์ ทองคำ,16,211.0,211.0,วิชชั่นใหม่,#fb0102,24.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_2,193,0.22391,15,184.0,นางสาววีริสรา ช่วงยรรยง,2,184.0,184.0,ปวงชนไทย,#283a96,23.0,กรุงเทพมหานคร
BKK,BKK_8,BKK_8_12,179,0.20766,16,217.0,นายไชยยศ ศรีสกุล,12,217.0,217.0,พลวัต,#58bc38,7.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_5,47108,51.96003,1,129.0,นายศุภณัฐ มีนชัยนันท์,5,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_6,16267,17.94247,2,63.0,นางสาวณัฐวรินธร บวรภัควุฒิสิริ,6,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_1,10691,11.79215,3,1.0,นางสาววิเวียน จุลมนต์,1,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_8,9379,10.34502,4,34.0,นายสายัณต์ จันทร์เหมือนเผือก,8,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_9,3150,3.47444,5,229.0,นายวัทธิกร หรุ่นศิริ,9,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_2,873,0.96292,6,227.0,นางสาววรินทร์ลดา วงศ์ศรีรัฐ,2,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_11,632,0.69709,7,255.0,พันโทพีรพงศ์ บัวเทศ,11,255.0,255.0,รวมพลังประชาชน,#2f368d,13.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_7,583,0.64305,8,91.0,นางสาวพัชรวณัน เบ็ญจวิทย์วิไล,7,91.0,91.0,รักชาติ,#00695a,35.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_3,553,0.60996,9,133.0,นายธราธพ ชาตรี,3,133.0,133.0,ไทยก้าวใหม่,#f4ec53,49.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_4,424,0.46767,10,217.0,นายชัยวัฒน์ โพธิจันทร์,4,217.0,217.0,พลวัต,#58bc38,7.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_10,324,0.35737,11,218.0,นายรัตนมงคล เลิศทวีวิทย์,10,218.0,218.0,กล้าธรรม,#55CF6A,42.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_13,259,0.28568,12,109.0,นายสุชาติ ตามประกอบ,13,109.0,109.0,ประชาธิปไตยใหม่,#eb4138,8.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_14,242,0.26693,13,241.0,นายปัฐน์ชนนท์ คูณธนานุวัฒน์,14,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_9,BKK_9_12,177,0.19523,14,258.0,นายนพพล ปุรณะชัยคีรี,12,258.0,258.0,เพื่อบ้านเมือง,#ffff00,56.0,กรุงเทพมหานคร
BKK,BKK_10,BKK_10_6,37489,44.74482,1,129.0,นายเอกราช อุดมอำนวย,6,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_10,BKK_10_5,17889,21.35133,2,34.0,นายภูมิพัฒน์ โหสกุล,5,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_10,BKK_10_9,8696,10.37907,3,241.0,นางกนกนุช กลิ่นสังข์,9,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_10,BKK_10_13,7276,8.68424,4,63.0,นายรณกร เชียรวิชัย,13,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_10,BKK_10_2,5864,6.99895,5,1.0,นายชัยพร แก้ววาตะ,2,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_10,BKK_10_1,1835,2.19016,6,229.0,นายภูพิพัฒน์ สาวพัฒนะธาดา,1,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_10,BKK_10_8,1288,1.53729,7,173.0,นายชณธัศน์ เหลืองวัฒนะวุฒิ,8,173.0,173.0,เศรษฐกิจ,#f7c036,11.0,กรุงเทพมหานคร
BKK,BKK_10,BKK_10_14,570,0.68032,8,227.0,นายไกรศักดิ์ เสาเวียง,14,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
